D_Dbuild,D_StructureSystem_RC,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_floorTAGround,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_Y4brickwall,D_Y3brickwall,D_basintype,D_475Acc,D_I,D_Demand,D_Tx,D_Ty,D_sds,D_sd1,D_td0,D_sms,D_sm1,D_tm0,D_windows,D_patitionwall,D_nonstructure,D_CLlarge,D_CLsmall,D_MaxCl,D_NeutralDepth,D_Ra_Capacity,D_Ra_CDR,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_isR
2018.0,0.0,0.0,,1,-4389.18343640762,0.0,0,0.0,0.0,,0.0,350970.04283255275,0.0,0,0.0,2.0,1684513489.1093318,0.0,0.0,0.0,1646345366.600941,29750.0,,0.0,232500.0,186000.0,-81876.09696462,3419004.1841590656,0.0,2.0,0.22,1.25,0.22,0.22,57348881.53282229,0.55,0.44928269506682994,0.82,,,,1.0,1.0,0.0,,2,,3.5,,,7.2,1950958.1545069488,185322.5,673.9,107.19376217923082,273827712.0762183,,0
1974.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,-150805.23777068336,2005.0149174755213,0.0,0.0,0.0,35.0,61250.0,4.0,4800.0,,0.0,106125.6088017894,1591817.2175554233,0.0,3.0,0.31,1.25,,,21.154002364709413,0.77,0.6720954376940931,0.83,,40184.286618760176,,1.0,-297714.8143216375,1.0,0.0,2,0.05,6.5,,,7.2,-3338030.7554115904,371034.0,1352.01,102.09059569992414,4091.262826309636,2800.0,1
1890.0,0.0,,4878.414224061145,0,,,0,0.0,,1.0,0.0,0.0,,0,1.0,2.0,3771.263538377112,592.0,0.0,0.0,22.0,107360.0,0.0,0.0,0.0,0.0,,1201964.4878090946,0.0,4.0,0.24,1.25,,0.22,-80.96512310810557,0.6,0.7919420004542213,,,,,1.0,1.0,0.0,243440.76313943107,2,2.77,4.5,,,11.2,,946279.5,180.0,113.43062360486326,2848.7080907378463,2800.0,0
1923.0,0.0,0.0,0.0,,48218.343538168985,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2.0,1539.3998797311444,0.0,0.0,0.0,16.0,,493272021.6503781,0.0,-188269058873.93198,288000.0,119734.64040366007,-90190.73220337974,0.0,1.0,0.37,1.25,-13462.840050067809,0.22,-105127672.87364131,0.92,0.49110286240942297,0.59,,,,,,0.0,0.0,2,0.03,4.3,,,7.2,445392.4618158536,74250.0,495.0,307.4378435157426,2624.785716094814,2800.0,1
1958.0,0.0,0.0,-81460.15170813273,0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,1,0.0,3.0,3044.1045406480175,406.0,8.0,3564865580.006199,24.0,,3.0,9000.0,0.0,,-17636.994624897983,-1493763.5375772608,0.0,3.0,0.31,1.25,0.31,0.43,61.90203391455446,223421.41117057035,0.6345712750292917,0.83,,,,1.0,1.0,2.0,0.0,6,,7.0,,,15.9,-513710.7119049588,,3415.62,131.2297358008404,2972.4271603969983,2800.0,1
,1.0,0.0,0.0,0,19945.820302667977,0.0,0,0.0,0.0,0.0,0.0,,0.0,0,0.0,4.0,2377.411670231426,,0.0,0.0,24.0,22353276235.423557,0.0,0.0,0.0,27960.0,127750.51212517609,3837234053472.892,0.0,4.0,,,-44294.00115750369,0.65,44.11873904683025,0.6,0.7784855973370782,,,,,,1.0,,8.0,13,1.01,3.2,,,18.0,9972314584415.607,718750.0,2875.0,-4.474177942155563,4287.6938739175475,2800.0,1
1920.0,1.0,,-35902.15380356078,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,,4.0,2299.455026898588,241.11,0.0,0.0,14.0,33600.0,0.0,0.0,,0.0,12853.089206465113,-2240605367414.358,0.0,4.0,0.24,1.25,0.24,,-2.2990402270203605,0.6,,1.6,,,,-431185.0702975006,1.0,,4.0,3,1.76,6.2,,29926.10920906704,14.4,-3863316.076692014,349344.0,1164.48,412.97470696989296,2700.4497501990504,2800.0,1
1945.0,1.0,0.0,-19489.74401388449,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,3.0,1299.0221299134835,,18.0,24384.0,,-74616265683.05852,,0.0,0.0,206500.0,-19383.80049504325,3247103.9951559342,147500.0,4.0,0.24,1.25,0.24,0.41,-91.71146863552319,0.6,,1.6,,-425252.62161150906,,1.0,,1.0,,,,2971424.2974491413,,,1070.0,-2822193.081864465,,1539.19,25.660071464264178,2704.140167609847,2800.0,0
1971.0,1.0,0.0,0.0,0,3630.235764954691,0.0,0,0.0,,0.0,0.0,0.0,0.0,1,0.0,2.0,3187.255666398515,,6.0,10050.0,10.0,15000.0,18.0,27000.0,,0.0,25988.43537489313,-2393672.289772468,13750.0,2.0,0.35,1.25,0.35,0.36,-4.057112292592108,0.88,0.5526561280779768,0.65,,,74383.799498818,1.0,1.0,552770.4545912541,0.0,3,2294125.825206563,6.5,,,10.8,5199692.587957943,469680.0,2012.42,293.8167973245279,2678.36327105544,2800.0,1
1959.0,656651.4936184522,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,,1.0,0.0,0,0.0,4.0,2511.9464452378247,,0.0,0.0,729688301.8454195,67600.0,6.0,8640.0,0.0,0.0,156129.59761445277,,0.0,3.0,0.34,1.25,0.34,0.52,92.52010406291598,0.85,0.6654410122179627,0.79,,-250085.44178606794,,-113825.53691612673,1.0,,0.0,5,0.29,4.6,,,,7153497.83639456,373650.0,2491.0,244.53912357821778,2796.0646128053527,2800.0,1
1985.0,0.0,0.0,,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,-33.23782072749157,,0.0,9955717570.674995,-1827738089.1073875,21600.0,0.0,0.0,-373176841577.4876,0.0,-80172.189572765,-945754.7587936409,0.0,2.0,101454.73346725672,1.25,0.35,0.31,31577241.04657552,0.88,0.585333229743865,0.68,,-279130.2622318238,,,1.0,0.0,0.0,1,,0.0,,,7.2,1115255.040387053,123678.0,549.68,357.41749879796504,2765.6973588785136,2800.0,1
1875.0,1.0,0.0,0.0,0,-16608.11078734252,0.0,0,0.0,0.0,0.0,,0.0,-1276944.028625128,1,0.0,226043.46077945872,-911.7753582980356,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,240823.76615451789,1.0,1.0,1.0,,1.0,1.0,-17.136986775093774,,1.0193912187978384,,,,,1.0,1.0,1.0,1.0,1,1.0,1661704.1717826666,,,1.0,5838825.001709297,1100.0,,-68.84884575864751,,2700.0,0
2011.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-433170.6929833691,0.0,0.0,1.0,0,100559.59876846374,3.0,2554.1876238672776,1195.45,43.0,-11845190913.086994,4.0,9600.0,4.0,9600.0,0.0,,,533909.2161622993,0.0,3.0,0.29,1.25,0.29,0.66,25.605937773262898,,0.5522252476951605,0.83,,,,1.0,,0.0,0.0,4,0.04,,,,19.98,1120264.3166002277,480235.0,1970.39,196.98087171029096,4068.879548958759,2800.0,1
7906210.735693855,0.0,0.0,1.0,0,0.0,0.0,0,0.0,-443132.0182910014,0.0,1.0,0.0,0.0,0,-30681.32684310586,4.0,2541.653079316202,0.0,0.0,0.0,40.0,-57330503339.86815,,0.0,0.0,0.0,,350744.40919057606,0.0,1.0,0.39,1.25,0.39,0.69,-47.05772501208574,0.98,0.5582074911574622,0.66,,,,1.0,0.0,0.0,0.0,0,0.0,-5475625.846144103,,,16.2,-520112.5046842862,851200.0,3404.8,116.8067481258408,4006.788699046418,2800.0,0
2017.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,,3598.259562080666,511.6,0.0,0.0,22.0,77000.0,,0.0,0.0,0.0,-118778.01357244428,1706838.1182933887,0.0,1.0,0.37,1.25,0.37,,67.64074447481711,0.93,0.6146302503136084,0.64,,,,1.0,1.0,0.0,0.0,6,0.05,4.6,,,19.0,2251277.7294465993,,2863.96,309.8580210868111,4317.492009857198,,0
2002.0,1.0,0.0,0.0,0,0.0,0.0,0,,34283.159517794316,0.0,0.0,1.0,0.0,,0.0,1.0,,,0.0,0.0,22.0,19800.0,0.0,,0.0,2856.0,65992.02171091299,725292.5901992475,,3.0,84329.04679517391,1.25,0.44,0.31,-3276601.8396698954,1.1,0.9809154270064022,0.88,,,-34079.452791066426,1.0,1.0,0.0,0.0,,0.02,3948154.133967873,,,7.2,-5279442.841681432,,548.43,86.72891761651084,,2800.0,1
,,0.0,0.0,0,0.0,0.0,0,,1.0,,,0.0,1.0,0,-250894.21409628863,3.0,4095.597284669063,,-5819773.24253831,39564.0,-147775063.41644034,104562.0,7.0,19782.0,124162275962.93481,49200.0,184888.28149759915,-178783.37227046536,0.0,1.0,0.35,,,0.41,-94161885.33480296,,,,,,,,1.0,2.0,2.0,2,,,,-17528.064305700904,5.75,-5411195.345787254,704700.0,4698.0,236.0266932179024,3004.3150276182073,2800.0,1
