D_floorTAGround,D_Demand,D_MaxCl,D_NeutralDepth,D_sd1,D_td0,D_sds,D_patitionwall,D_nonstructure,D_Ty,D_windows,D_Tx,D_I,D_475Acc,D_basintype,D_CLlarge,D_CLsmall,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_Dbuild,D_Y3brickwall,D_StructureSystem_RC,D_Y4brickwall,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_isR
511.6,0.37,0.05,4.6,0.6146302503136084,0.64,0.93,1.0,0.0,67.64074447481711,1.0,,1.25,0.37,1.0,0.0,6.0,19.0,2251277.7294465997,,2863.96,309.8580210868111,4317.492009857198,,2017.0,,1.0,1706838.1182933887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,3598.259562080666,0.0,,22.0,77000.0,,,,,118778.01357244428,0
,0.44,0.02,,0.9809154270064022,0.88,1.1,1.0,0.0,,1.0,0.31,1.25,,3.0,0.0,,7.2,5279442.841681432,,548.43,86.72891761651084,,2800.0,2002.0,,1.0,725292.5901992475,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,,0.0,1.0,,0.0,,22.0,19800.0,0.0,,,2856.0,65992.02171091299,1
,,,,,,,1.0,2.0,,,0.41,,0.35,1.0,2.0,2.0,5.75,5411195.345787254,704700.0,4698.0,236.0266932179024,3004.3150276182078,2800.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,1.0,0.0,,3.0,4095.597284669063,,39564.0,,104562.0,7.0,19782.0,,49200.0,184888.28149759915,1
0.0,0.24,0.01,3.44,0.6459828050618324,1.3,0.7,,,90.11506888554916,1.0,0.54,1.25,0.26,1.0,,1.0,13.8,,198450.0,9696.0,254.43759852634756,2785.8213617194674,2800.0,1929.0,,1.0,835970.7883311356,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2347.77902493937,,39746.25,18.0,38400.0,3.0,,,,117119.68167262324,1
,0.36,0.05,6.0,0.7621621427235211,0.8,0.91,1.0,,101.8877818569547,,0.52,1.25,0.36,2.0,0.0,10.0,3.6,1205442.9009032222,1677600.0,5592.0,299.0228666717452,2618.636382524365,2800.0,2017.0,,0.0,1968967.3929957396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1978.5114836861665,10.0,,92.0,,0.0,,,,82041.83058775806,1
,,,,0.5149827389582701,0.96,0.6,1.0,,80.41110161126248,1.0,0.61,,0.24,3.0,6.0,9.0,14.3,5605447.932819765,,3426.66,376.1805727493339,2664.465262892504,2800.0,1941.0,,0.0,3226773.286873131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,,0.0,0.0,3.0,3355.8461478340946,,,15.0,48750.0,10.0,32500.0,,,64773.175230088265,0
,,,,,,,1.0,0.0,84.69413571807812,,0.66,1.5,,4.0,6.0,0.0,19.95,,942500.0,3770.0,305.6511602912735,4342.185161633093,3640.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,,,4784.028584521361,0.0,,32.0,86400.0,0.0,,,,,1
,0.26,0.07,5.6,0.438660202334127,0.74,0.66,1.0,1.0,1.3210949155316851,,0.3,,0.26,,,3.0,6.9,2348483.488967353,264300.0,881.0,30.80047942830313,2819.254939381352,2800.0,2012.0,23000.0,0.0,1198778.258325542,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,2.0,1527.9113170061887,0.0,,,48600.0,0.0,,,,,1
0.0,0.23,0.04,2.1,,0.74,0.75,1.0,1.0,100.03773775653303,1.0,0.38,1.25,0.3,2.0,0.0,6.0,7.29,2586526.393045204,,1356.4,237.2308402566187,,2800.0,,,1.0,1034361.212411628,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,,0.0,2.0,2099.9023684041413,0.0,,,115200.0,3.0,3750.0,,12000.0,33688.59561029091,1
0.0,0.28,,7.5,0.5359471676321428,0.74,0.7,1.0,0.0,33.99983352861448,1.0,0.32,1.25,0.28,2.0,0.0,2.0,7.5,,389835.0,1732.6,310.4740230211147,2950.42216830503,2800.0,1887.0,,,2430131.182459548,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,1.0,1170.821296770124,13.0,25100.0,58.0,71050.0,,2400.0,,,36971.3262787522,1
